id,date,speaker,claims,label
0,2001,H.E. John Agyekum Kufuor,The economy inherited was in a poor state with real GDP growth in 2000 at 3.7% lower than the projected 5%,1
1,2001,H.E. John Agyekum Kufuor,The total debt stock stood at 41.1 trillion cedis at the end of December 2000 with 31.7 trillion external and 9.4 trillion domestic,0
2,2001,H.E. John Agyekum Kufuor,The government is committed to democratic governance and respect for human rights and will establish a National Reconciliation Committee,1
3,2001,H.E. John Agyekum Kufuor,The government will focus on national reconciliation and unity and accelerate the process of restoring confiscated assets to their owners,1
4,2001,H.E. John Agyekum Kufuor,Private sector development will be the main engine of economic growth and the Investment Promotion Act will be reviewed and broadened,1
5,2001,H.E. John Agyekum Kufuor,The government will reform Land Laws and Administration to make it easier for entrepreneurs to acquire land for businesses,1
6,2001,H.E. John Agyekum Kufuor,The government will invest in education to reverse imbalances in educational opportunities between urban and rural areas,1
7,2001,H.E. John Agyekum Kufuor,The government will move towards full cost recovery for petroleum products and implement a plan to reduce the Tema Oil Refinery debt,1
8,2001,H.E. John Agyekum Kufuor,The government aims for Ghana to become a leading agro-based industrial country in Africa by 2010,1
9,2001,H.E. John Agyekum Kufuor,The government will balance the budget by the end of its first term and impose strict fiscal discipline,1
10,2001,H.E. John Agyekum Kufuor,"The government pledges to create a ""golden age of business"" by pursuing transparent policies and creating a framework for protecting property rights and business contracts",1
11,2001,H.E. John Agyekum Kufuor,"The world stands in admiration of our achievement, and this should encourage us in our path of deepening and consolidating democracy under a regime of respect for human rights and the rule of law.",1
12,2001,H.E. John Agyekum Kufuor,The conditions under which the majority live are intolerable and we must succeed in improving the quality of their lives; for failure will forever undermine our people�s support for democratic governance.,1
13,2001,H.E. John Agyekum Kufuor,"Mismanagement, mass unemployment, low wages, high cost of living, a rapidly depreciating currency, a colossal national debt, high dependency on foreign aid, as well as declining educational and health opportunities, extensive corruption in public life, a cowed and demoralized private sector, hopelessness and despair � this is the legacy of the last two decades.",1
14,2001,H.E. John Agyekum Kufuor,"Our Party�s policy is to liberate the energies of the people for the growth of a property-owning democracy in this land, with right to life, freedom, and justice, as the principles to which the Government and laws should be dedicated, in order, specifically, to enrich life, property, and liberty, of each and every citizen.",0
15,2001,H.E. John Agyekum Kufuor,"We will take appropriate action to move towards full cost recovery and implement a plan to reduce the stock of the Tema Oil Refinery debt over time, which now stands in trillions of cedis.",0
16,2003,H.E. John Agyekum Kufuor,"Ephraim Amu's effigy now graces the new 20,000 cedis note.",1
17,2003,H.E. John Agyekum Kufuor,"The vision is to turn Ghana into a middle income country, through the vehicle of a solid macroeconomic framework as targeted in the five priority areas chosen for development.",1
18,2003,H.E. John Agyekum Kufuor,"This past year has been full of challenges, and government has had to start the first quarter of the New Year faced with many difficult but necessary decisions.",1
19,2003,H.E. John Agyekum Kufuor,One of the major problems facing the economy has been the persistent under-pricing of petroleum products.,1
20,2003,H.E. John Agyekum Kufuor,"When government took the decision to increase the prices of petroleum, Ghana charged the lowest prices in the sub-region outside Nigeria.",1
21,2003,H.E. John Agyekum Kufuor,This persistent under-pricing resulted in the Tema Oil Refinery (TOR) accumulating a debt that currently exceeds the primary capital of the country’s entire banking system.,1
22,2003,H.E. John Agyekum Kufuor,Government decided there must be no further accumulation of debt and that the TOR debt must be paid within a reasonable period.,0
23,2003,H.E. John Agyekum Kufuor,Government also decided that the management of TOR should be made to be more efficient and the industry to be progressively opened to Private Sector participation.,1
24,2003,H.E. John Agyekum Kufuor,A new independent institution will henceforth be responsible for fixing maximum allowable prices for petroleum products.,1
25,2003,H.E. John Agyekum Kufuor,Government will no longer have a hand in the fixing of prices.,1
26,2003,H.E. John Agyekum Kufuor,"In the past two years, any objective observer will accept that the nation has made some gains.",1
